"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"39","NP_001243024","P35580","reviewed","MYH10_HUMAN","Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)","MYH10","Homo sapiens (Human)",1976
"40","NP_149043","B0I1T2","reviewed","MYO1G_HUMAN","Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]","MYO1G HA2","Homo sapiens (Human)",1018
"41","NP_067047","Q96JM2","reviewed","ZN462_HUMAN","Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)","ZNF462 KIAA1803","Homo sapiens (Human)",2506
"42","NP_067047","Q63HJ5","unreviewed","Q63HJ5_HUMAN","Uncharacterized protein DKFZp686L2367","DKFZp686L2367","Homo sapiens (Human)",2506
"43","NP_002461","P11055","reviewed","MYH3_HUMAN","Myosin-3 (Muscle embryonic myosin heavy chain) (Myosin heavy chain 3) (Myosin heavy chain, fast skeletal muscle, embryonic) (SMHCE)","MYH3","Homo sapiens (Human)",1940
"44","NP_002461","Q5GJ67","unreviewed","Q5GJ67_HUMAN","Hypothetical rhabdomyosarcoma antigen MU-RMS-40.3","","Homo sapiens (Human)",941
"45","NP_060003","Q9Y623","reviewed","MYH4_HUMAN","Myosin-4 (Myosin heavy chain 2b) (MyHC-2b) (Myosin heavy chain 4) (Myosin heavy chain IIb) (MyHC-IIb) (Myosin heavy chain, skeletal muscle, fetal)","MYH4","Homo sapiens (Human)",1939
"46","NP_003793","Q9UKX3","reviewed","MYH13_HUMAN","Myosin-13 (Myosin heavy chain 13) (Myosin heavy chain, skeletal muscle, extraocular) (MyHC-EO) (Myosin heavy chain, skeletal muscle, laryngeal) (MyHC-IIL) (Superfast myosin)","MYH13","Homo sapiens (Human)",1938
"47","NP_060004","Q9UKX2","reviewed","MYH2_HUMAN","Myosin-2 (Myosin heavy chain 2) (Myosin heavy chain 2a) (MyHC-2a) (Myosin heavy chain IIa) (MyHC-IIa) (Myosin heavy chain, skeletal muscle, adult 2)","MYH2 MYHSA2","Homo sapiens (Human)",1941
"48","NP_005954","P12882","reviewed","MYH1_HUMAN","Myosin-1 (Myosin heavy chain 1) (Myosin heavy chain 2x) (MyHC-2x) (Myosin heavy chain IIx/d) (MyHC-IIx/d) (Myosin heavy chain, skeletal muscle, adult 1)","MYH1","Homo sapiens (Human)",1939
"49","NP_002463","P13535","reviewed","MYH8_HUMAN","Myosin-8 (Myosin heavy chain 8) (Myosin heavy chain, skeletal muscle, perinatal) (MyHC-perinatal)","MYH8","Homo sapiens (Human)",1937
"50","NP_689914","Q86UQ4","reviewed","ABCAD_HUMAN","ATP-binding cassette sub-family A member 13 (EC 7.6.2.-)","ABCA13","Homo sapiens (Human)",5058
"51","NP_689914","A0A0A0MT16","unreviewed","A0A0A0MT16_HUMAN","ATP binding cassette subfamily A member 13","ABCA13","Homo sapiens (Human)",5058
"52","NP_001242941","P35580","reviewed","MYH10_HUMAN","Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)","MYH10","Homo sapiens (Human)",1976
"53","NP_001242941","G1UI33","unreviewed","G1UI33_HUMAN","Myosin-10","MYH10","Homo sapiens (Human)",180
"54","NP_060227","Q9C0G0","reviewed","ZN407_HUMAN","Zinc finger protein 407","ZNF407 KIAA1703","Homo sapiens (Human)",2248
"55","NP_055796","Q9Y2K3","reviewed","MYH15_HUMAN","Myosin-15 (Myosin heavy chain 15)","MYH15 KIAA1000","Homo sapiens (Human)",1946
"56","NP_065935","A7E2Y1","reviewed","MYH7B_HUMAN","Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)","MYH7B KIAA1512","Homo sapiens (Human)",1983
"57","NP_008974","Q13601","reviewed","KRR1_HUMAN","KRR1 small subunit processome component homolog (HIV-1 Rev-binding protein 2) (KRR-R motif-containing protein 1) (Rev-interacting protein 1) (Rip-1)","KRR1 HRB2","Homo sapiens (Human)",381
"58","NP_001156806","Q8TDW5","reviewed","SYTL5_HUMAN","Synaptotagmin-like protein 5","SYTL5 SLP5","Homo sapiens (Human)",730
"59","NP_000251","Q13402","reviewed","MYO7A_HUMAN","Unconventional myosin-VIIa","MYO7A USH1B","Homo sapiens (Human)",2215
"60","NP_001242970","Q9UBC5","reviewed","MYO1A_HUMAN","Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC)","MYO1A MYHL","Homo sapiens (Human)",1043
"61","NP_001242970","B2R643","unreviewed","B2R643_HUMAN","cDNA, FLJ92777, highly similar to Homo sapiens myosin IA (MYO1A), mRNA","","Homo sapiens (Human)",1043
"62","NP_001094891","B4DNW6","unreviewed","B4DNW6_HUMAN","Myosin IH, isoform CRA_a (cDNA FLJ54829, moderately similar to Myosin Ic)","MYO1H hCG_1800664","Homo sapiens (Human)",213
"63","NP_057323","Q9UKN7","reviewed","MYO15_HUMAN","Unconventional myosin-XV (Unconventional myosin-15)","MYO15A MYO15","Homo sapiens (Human)",3530
"64","NP_002465","P35749","reviewed","MYH11_HUMAN","Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)","MYH11 KIAA0866","Homo sapiens (Human)",1972
"65","NP_002465","A0A024QZJ4","unreviewed","A0A024QZJ4_HUMAN","Epididymis secretory sperm binding protein","","Homo sapiens (Human)",1972
"66","NP_005955","P35580","reviewed","MYH10_HUMAN","Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)","MYH10","Homo sapiens (Human)",1976
"67","NP_001035202","P35749","reviewed","MYH11_HUMAN","Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)","MYH11 KIAA0866","Homo sapiens (Human)",1972
"68","NP_001070654","Q7Z406","reviewed","MYH14_HUMAN","Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)","MYH14 KIAA2034 FP17425","Homo sapiens (Human)",1995
"69","NP_001070654","B3KWH4","unreviewed","B3KWH4_HUMAN","cDNA FLJ43092 fis, clone COLON2002520, highly similar to Myosin-14","","Homo sapiens (Human)",629
"70","NP_079005","Q7Z406","reviewed","MYH14_HUMAN","Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)","MYH14 KIAA2034 FP17425","Homo sapiens (Human)",1995
"71","NP_000250","Q9Y4I1","reviewed","MYO5A_HUMAN","Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle) (Myosin heavy chain 12) (Myosin-12) (Myoxin)","MYO5A MYH12","Homo sapiens (Human)",1855
"72","NP_000250","Q9UES4","unreviewed","Q9UES4_HUMAN","Myosin V","","Homo sapiens (Human)",206
"73","NP_878918","Q8WXH0","reviewed","SYNE2_HUMAN","Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2)","SYNE2 KIAA1011 NUA","Homo sapiens (Human)",6885
"74","NP_878918","Q6MZP0","unreviewed","Q6MZP0_HUMAN","Uncharacterized protein DKFZp686M09200","DKFZp686M09200","Homo sapiens (Human)",899
"75","NP_892006","Q8NF91","reviewed","SYNE1_HUMAN","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)","SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1","Homo sapiens (Human)",8797
"76","NP_149062","Q8NF91","reviewed","SYNE1_HUMAN","Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)","SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1","Homo sapiens (Human)",8797
"77","NP_149062","A0A0C4DG40","unreviewed","A0A0C4DG40_HUMAN","Spectrin repeat containing nuclear envelope protein 1","SYNE1","Homo sapiens (Human)",8749
"78","NP_001138722","P0CG40","reviewed","SP9_HUMAN","Transcription factor Sp9","SP9","Homo sapiens (Human)",484
"79","NP_003118","Q13813","reviewed","SPTN1_HUMAN","Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)","SPTAN1 NEAS SPTA2","Homo sapiens (Human)",2472
"80","NP_001123910","Q13813","reviewed","SPTN1_HUMAN","Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)","SPTAN1 NEAS SPTA2","Homo sapiens (Human)",2472
"81","NP_001182461","Q13813","reviewed","SPTN1_HUMAN","Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)","SPTAN1 NEAS SPTA2","Homo sapiens (Human)",2472
"82","NP_001182461","A0A384P5S9","unreviewed","A0A384P5S9_HUMAN","Epididymis secretory sperm binding protein","","Homo sapiens (Human)",2452
"83","NP_001243000","Q63HN8","reviewed","RN213_HUMAN","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)","RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR","Homo sapiens (Human)",5207
"84","NP_001243000","A0A0A0MTR7","unreviewed","A0A0A0MTR7_HUMAN","Ring finger protein 213","RNF213","Homo sapiens (Human)",5207
"85","NP_004406","P15924","reviewed","DESP_HUMAN","Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)","DSP","Homo sapiens (Human)",2871
"86","NP_004406","B4DKX6","unreviewed","B4DKX6_HUMAN","cDNA FLJ53584, highly similar to Desmoplakin","","Homo sapiens (Human)",954
"87","NP_689916","Q8IVG5","reviewed","SAM9L_HUMAN","Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like)","SAMD9L C7orf6 DRIF2 KIAA2005 UEF","Homo sapiens (Human)",1584
"88","NP_060124","Q5K651","reviewed","SAMD9_HUMAN","Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9)","SAMD9 C7orf5 DRIF1 KIAA2004 OEF1","Homo sapiens (Human)",1589
"89","NP_443141","Q96PX9","reviewed","PKH4B_HUMAN","Pleckstrin homology domain-containing family G member 4B (PH domain-containing family G member 4B)","PLEKHG4B KIAA1909","Homo sapiens (Human)",1271
"90","NP_008835","P78527","reviewed","PRKDC_HUMAN","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)","PRKDC HYRC HYRC1","Homo sapiens (Human)",4128
"91","NP_000375","P04114","reviewed","APOB_HUMAN","Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]","APOB","Homo sapiens (Human)",4563
"92","NP_000375","Q59HB3","unreviewed","Q59HB3_HUMAN","Apolipoprotein B variant","","Homo sapiens (Human)",1615
"93","NP_000375","Q7Z7Q0","unreviewed","Q7Z7Q0_HUMAN","APOB protein","APOB","Homo sapiens (Human)",825
"94","NP_001447","P21333","reviewed","FLNA_HUMAN","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)","FLNA FLN FLN1","Homo sapiens (Human)",2647
"95","NP_001447","Q60FE5","unreviewed","Q60FE5_HUMAN","Filamin A","FLNA","Homo sapiens (Human)",2620
"96","NP_001447","Q6NXF2","unreviewed","Q6NXF2_HUMAN","FLNA protein","FLNA","Homo sapiens (Human)",983
"97","NP_001157789","O75369","reviewed","FLNB_HUMAN","Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)","FLNB FLN1L FLN3 TABP TAP","Homo sapiens (Human)",2602
"98","NP_001448","O75369","reviewed","FLNB_HUMAN","Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)","FLNB FLN1L FLN3 TABP TAP","Homo sapiens (Human)",2602
"99","NP_001449","Q14315","reviewed","FLNC_HUMAN","Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)","FLNC ABPL FLN2","Homo sapiens (Human)",2725
"100","NP_001449","Q59H94","unreviewed","Q59H94_HUMAN","Gamma filamin variant","","Homo sapiens (Human)",1342
"101","NP_001120959","Q14315","reviewed","FLNC_HUMAN","Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)","FLNC ABPL FLN2","Homo sapiens (Human)",2725
"102","NP_001120959","Q59H94","unreviewed","Q59H94_HUMAN","Gamma filamin variant","","Homo sapiens (Human)",1342
"103","NP_003119","Q01082","reviewed","SPTB2_HUMAN","Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)","SPTBN1 SPTB2","Homo sapiens (Human)",2364
"104","NP_003119","B2ZZ89","unreviewed","B2ZZ89_HUMAN","Spectrin beta chain","SPTBN1 HEL102 hCG_17370","Homo sapiens (Human)",2364
"105","NP_842565","Q01082","reviewed","SPTB2_HUMAN","Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)","SPTBN1 SPTB2","Homo sapiens (Human)",2364
"106","NP_001020029","P11277","reviewed","SPTB1_HUMAN","Spectrin beta chain, erythrocytic (Beta-I spectrin)","SPTB SPTB1","Homo sapiens (Human)",2137
"107","NP_008877","O15020","reviewed","SPTN2_HUMAN","Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)","SPTBN2 KIAA0302 SCA5","Homo sapiens (Human)",2390
"108","NP_000338","P11277","reviewed","SPTB1_HUMAN","Spectrin beta chain, erythrocytic (Beta-I spectrin)","SPTB SPTB1","Homo sapiens (Human)",2137
"109","NP_066022","Q9H254","reviewed","SPTN4_HUMAN","Spectrin beta chain, non-erythrocytic 4 (Beta-IV spectrin) (Spectrin, non-erythroid beta chain 3)","SPTBN4 KIAA1642 SPTBN3","Homo sapiens (Human)",2564
"110","NP_001243415","Q14789","reviewed","GOGB1_HUMAN","Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)","GOLGB1","Homo sapiens (Human)",3259
"111","NP_004478","Q14789","reviewed","GOGB1_HUMAN","Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)","GOLGB1","Homo sapiens (Human)",3259
"112","NP_001243417","Q14789","reviewed","GOGB1_HUMAN","Golgin subfamily B member 1 (372 kDa Golgi complex-associated protein) (GCP372) (Giantin) (Macrogolgin)","GOLGB1","Homo sapiens (Human)",3259
"113","NP_005742","Q99996","reviewed","AKAP9_HUMAN","A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)","AKAP9 AKAP350 AKAP450 KIAA0803","Homo sapiens (Human)",3907
"114","NP_005742","Q5GIA7","unreviewed","Q5GIA7_HUMAN","Antigen MU-RMS-40.16A","","Homo sapiens (Human)",1016
"115","NP_005742","Q6PJH3","unreviewed","Q6PJH3_HUMAN","A kinase (PRKA) anchor protein (Yotiao) 9, isoform CRA_c (AKAP9 protein)","AKAP9 hCG_1812018","Homo sapiens (Human)",314
"116","NP_671714","Q99996","reviewed","AKAP9_HUMAN","A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)","AKAP9 AKAP350 AKAP450 KIAA0803","Homo sapiens (Human)",3907
"117","NP_671714","Q5GIA7","unreviewed","Q5GIA7_HUMAN","Antigen MU-RMS-40.16A","","Homo sapiens (Human)",1016
"118","NP_671714","Q6PJH3","unreviewed","Q6PJH3_HUMAN","A kinase (PRKA) anchor protein (Yotiao) 9, isoform CRA_c (AKAP9 protein)","AKAP9 hCG_1812018","Homo sapiens (Human)",314
"119","NP_005520","P98160","reviewed","PGBM_HUMAN","Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]","HSPG2","Homo sapiens (Human)",4391
"120","NP_004360","P12111","reviewed","CO6A3_HUMAN","Collagen alpha-3(VI) chain","COL6A3","Homo sapiens (Human)",3177
"121","NP_004360","D9ZGF2","unreviewed","D9ZGF2_HUMAN","Collagen, type VI, alpha 3 (Epididymis secretory sperm binding protein)","COL6A3","Homo sapiens (Human)",3177
"122","NP_004360","Q63HQ4","unreviewed","Q63HQ4_HUMAN","Uncharacterized protein DKFZp686K04147","DKFZp686K04147","Homo sapiens (Human)",1222
"123","NP_004360","Q8N4Z1","unreviewed","Q8N4Z1_HUMAN","Similar to collagen, type VI, alpha 3","","Homo sapiens (Human)",979
"124","NP_476507","P12111","reviewed","CO6A3_HUMAN","Collagen alpha-3(VI) chain","COL6A3","Homo sapiens (Human)",3177
"125","NP_476507","B7ZW00","unreviewed","B7ZW00_HUMAN","COL6A3 protein","COL6A3","Homo sapiens (Human)",2570
"126","NP_065816","Q5T4S7","reviewed","UBR4_HUMAN","E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)","UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1","Homo sapiens (Human)",5183
"127","NP_006280","Q9Y490","reviewed","TLN1_HUMAN","Talin-1","TLN1 KIAA1027 TLN","Homo sapiens (Human)",2541
"128","NP_055874","Q9Y4G6","reviewed","TLN2_HUMAN","Talin-2","TLN2 KIAA0320","Homo sapiens (Human)",2542
